Problem,Agent's Answer,Correct?,Correct Answer
Basic Problem B-01,2,Correct,2
Basic Problem B-02,4,Incorrect,5
Basic Problem B-03,2,Incorrect,1
Basic Problem B-04,2,Incorrect,3
Basic Problem B-05,1,Incorrect,4
Basic Problem B-06,3,Incorrect,5
Basic Problem B-07,2,Incorrect,6
Basic Problem B-08,3,Incorrect,6
Basic Problem B-09,1,Incorrect,5
Basic Problem B-10,3,Correct,3
Basic Problem B-11,4,Incorrect,1
Basic Problem B-12,2,Incorrect,1
Basic Problem C-01,8,Incorrect,3
Basic Problem C-02,7,Incorrect,4
Basic Problem C-03,3,Incorrect,4
Basic Problem C-04,6,Incorrect,8
Basic Problem C-05,4,Incorrect,3
Basic Problem C-06,2,Incorrect,7
Basic Problem C-07,2,Correct,2
Basic Problem C-08,4,Incorrect,5
Basic Problem C-09,8,Incorrect,2
Basic Problem C-10,1,Incorrect,7
Basic Problem C-11,3,Incorrect,4
Basic Problem C-12,3,Incorrect,8
Challenge Problem B-01,6,Correct,6
Challenge Problem B-02,4,Incorrect,1
Challenge Problem B-03,3,Correct,3
Challenge Problem B-04,3,Incorrect,4
Challenge Problem B-05,5,Incorrect,6
Challenge Problem B-06,2,Incorrect,3
Challenge Problem B-07,1,Incorrect,6
Challenge Problem B-08,6,Incorrect,4
Challenge Problem B-09,5,Incorrect,4
Challenge Problem B-10,5,Incorrect,4
Challenge Problem B-11,1,Incorrect,5
Challenge Problem B-12,5,Incorrect,1
Challenge Problem C-01,1,Incorrect,7
Challenge Problem C-02,7,Correct,7
Challenge Problem C-03,5,Incorrect,3
Challenge Problem C-04,8,Correct,8
Challenge Problem C-05,3,Incorrect,4
Challenge Problem C-06,2,Incorrect,7
Challenge Problem C-07,5,Incorrect,3
Challenge Problem C-08,7,Incorrect,1
Challenge Problem C-09,7,Correct,7
Challenge Problem C-10,3,Correct,3
Challenge Problem C-11,5,Incorrect,4
Challenge Problem C-12,1,Incorrect,2
